id,AP_Pjt_URL,locality_URL,tech_spec,usp,overall,positive,needs_improvement,locality_avg_buy,locality_avg_rent
cardid70938587,https://www.magicbricks.com/adhiraj-capital-city-tower-meraki-kharghar-navi-mumbai-pdpid-4d4235313237313333,https://www.magicbricks.com/Kharghar-in-Navi-Mumbai-Overview,Cross ventilation in all reisdences | Premium vitrified flooring | Separate wardrobe areas in all bedrooms | Double Height sundecks with French Windows | Premium granite countertops with SS sink in kitchen | Premium sanitary ware and fittings in bathrooms,"The largest 2 and 3 bed homes in Kharghar | A lifestyle of unmatched space, comfort and convenience | Location Advantages: Institute For Technology & Management (3.2 Km) | National Institute Of Fashion Technology (Nift) (3.6 Km) | Convent Of Jesus & Mary High School & Junior College (0.6 Km) | Reliance Corporate Park (9.5 Km) | CIDCO Park Sector 20 (1.7 Km) | International Infotech Park (7.0 Km) | Millennium Business Park (7.2 Km)","Adhiraj Capital City Tower Meraki in Kharghar, Navi Mumbai has faced significant delays in construction and possession timelines, leading to dissatisfaction among buyers. While the project boasts modern amenities and spacious apartments, issues with construction progress and communication have been prominent. ","The project offers modern amenities and spacious apartments, making it an attractive option for potential buyers. ",,"Average property prices in the locality are between ? 8,500- ? 13,800 / sqft",Average rent in the locality is between ? 25- ? 39 / sqft
cardid71736607,https://www.magicbricks.com/av-pride-nalasopara-west-mumbai-pdpid-4d4235343139323233,https://www.magicbricks.com/Nalasopara-West-in-Mumbai-Overview,Vitrified tiles | Distemper paints,"40+ lifestyle amenities | Swimming Pool, Garden | 2700 Sq Ft Gym, Rooftop Jogging Track | Temple | EV Charging Station | Location Advantages: NSP Railway Station (1.4 Km) | Rahul International School, Bank, Hospital  (0.Km) | Connect Virar Link Rd",,,,,
cardid72167973,https://www.magicbricks.com/samarth-aura-bhandup-west-mumbai-pdpid-4d4235333236393931,https://www.magicbricks.com/Bhandup-West-in-Mumbai-Overview,10 ft ceiling height | Vitrified flooring 3 x 3 tiles | High grade sanitary and electrical fittings | Anodised aluminum windows | Granite kitchen slab with SS Sink,Covered Surface Parking | Semi Furnished Flats | 60 + World Class Amenities | Location Advantages: CONNECTIVITY L.B.S. Marg 0.5 km | Nahur station 1.3 km | Bhandup Station 2.4 km | Mulund 2.5 km | Airoli 7.0 km | Eastern Express Highway 3.5 km | Mumbai Domestic Airport 17.7 km | Shangrila Metro Station 0.5 km | MGLR 1.2 km | HOTSPOTS NES High School 2 km | GS Shetty International School 1 km | Pawar Public School 1.2 km | D Mart 1.5 km | Magnet Mall 2 km | Fortis Hospital 1.5 km | Bhavsar Multispeciality Hospital 1.1 km | Yashadaa Hospital 1.1 km,,,,"Average property prices in the locality are between ? 14,400- ? 23,700 / sqft",Average rent in the locality is between ? 40- ? 63 / sqft
cardid71715475,https://www.magicbricks.com/sm-jewel-taloja-navi-mumbai-pdpid-4d4235343139333431,https://www.magicbricks.com/Taloja-in-Navi-Mumbai-Overview,"The structure of the project is built using RCC frame structure. | Other bedrooms also have vitrified tile flooring. | The living area features vitrified tile flooring. | The master bedroom walls are finished with oil-bound distemper, and the flooring is done with vitrified tiles. | Master Bedroom-Walls Oil Bound Distemper | 3 Seater-sofa with centre table | Ceiling lights | Gypsum false ceiling | Living room wallpaper | Room designer lights | Shoe rack | Storage with in pre-laminated with suede finish | Swing wardrobe without loft in laminate with suede finish | Standard sink & chimney","1.5 Acres of Luxury Lifestyle Complex | G+14 Storeyed 2 & 3 BHK Homes | Roman Architectural Elevation | Overwhelming Greenery | 1 Clubhouses Featuring Lifestyle Amenities | Lush Green Open Landscapes | Possession - December 2025 (Appox.) | 0.8 KM distance from ongoing Metro Station | Near Education Institutes & Hospitals | Close to Taloja Kharghar Bridge | Excellent Connectivity | Ongoing Metro Station- 0.8 Kms | Mumbai Pune Expressway -4 Kms | Proposed International Airport - 12Km | Taloja Kharghar Bridge- 100 mtr | ISKON Temple- 8 Kms | Bharati Vidyapith-12Kms | National Institute of Fashion Technology-10Kms | A. C. Patil College of Engineering-10 kms | Taloja Railway station- 4.5 Kms | Direct NMMT bus service from Navi Mumbai to Taloja | ST Buses service availale till Project | Near to proposed Airport and Corporate Park, Golf Course, ISKON Temple, Education Hub. | Near to CIDCO Planned City Kharghar | Near Education Institutes &Hospitals | Many Collages in Kharghar like Bharati Vidyapeeth, A. C. Patil College of Engineering | Metro lines Proposed - Kalyan - Talojaroute. | Upcoming Stations are APMC Kalyan, Ganesh Nagar, Pisawali Gaon, Golvali, Dombivali MIDC, Sa Gaon, Sonar Pada, Manpada, Hadutane, Kole Gaon, Nilje Gaon,Wadavali, Bale, Vaklan, Turbhe,Pisawe Depot, Pisawe, Taloja",,,,"Average property prices in the locality are between ? 4,900- ? 7,600 / sqft",Average rent in the locality is between ? 11- ? 19 / sqft
cardid71696137,https://www.magicbricks.com/drushti-sapphire-ghatkopar-east-mumbai-pdpid-4d4235333235383035,https://www.magicbricks.com/Ghatkopar-East-in-Mumbai-Overview,RCC framed strategically constructed structure keeping in mind the best of architecture and specifications both from inside as well as outside.,Decorative double height entrance lobby | Project located close to upcoming metro station | CCTV camera for security and surveillance | Ghatkopar station 0.4km | Eastern express highway 0.9 km | Eastern freeway,,,,"Average property prices in the locality are between ? 18,300- ? 28,500 / sqft",Average rent in the locality is between ? 52- ? 91 / sqft
cardid72744229,https://www.magicbricks.com/sheth-montana-mulund-west-mumbai-pdpid-4d4235303832353731,https://www.magicbricks.com/Mulund-West-in-Mumbai-Overview,Balcony: Vitrified tiles | Kitchen: Vitrified Tiles | Living/Dining: Vitrified Tiles | Master Bedroom: Johnson/Vermeer Tiles | Other Bedroom: Johnson/Vermeer Tiles | Toilet: Vitrified tiles | Main Door: Decorative flush doors with both side laminate | Internal Door: Decorative flush doors with both side laminate | Kitchen: Modular Kitchen with Dishwasher | Windows: Heavy section anodized aluminum sliding windows with tinted glass and granite sills | Toilets: Provision for Geyser | Interior: Gypsum plaster with plastic paint | Kitchen: Glazed tiles upto ceiling | Toilets: Glazed tiles upto ceiling,7 acres development with blissful hill views | 4 towers of 45 storeys each | Over 40 lifestyle amenities | Intelligently-designed apartments with zero space wastage | Double-level eco-deck spread over 5 acres | Architecture by James Law (Hong Kong) | Landscape by TROP (Bangkok) | Show Apartment Interiors by HBA (Singapore) |  | Eastern Express Highway – 3.5 Kms | JVLR –  6 Kms | DAV International School – 2 Kms | Billabong High International School – 2.6 Kms | Fortis Hospital – 1.5 Km | E.S.I.S Hospital – 1.7 Kms | R Mall – 2.4 Kms | Eternity Mall – 5 Kms,"The area boasts excellent connectivity, being under 1 km from Mulund railway station, and offers a peaceful community with strong neighborly ties. Residents benefit from nearby schools, hospitals, shopping malls, and restaurants. However, high rental costs, limited amenities, and no parking create visitor parking issues. The densely populated area experiences significant traffic congestion and has poor water quality, necessitating filtration for drinking. ","The area offers excellent connectivity with Mulund railway station under 1 km and easy access to major roads. It features a peaceful community with strong neighborly ties and regular local gatherings. Residents enjoy nearby amenities, including schools, hospitals, shopping malls, and restaurants, all contributing to a comfortable living experience. The environment is safe, well-maintained, and hygienic, enhancing the overall quality of life. ","High rental costs are associated with limited amenities and no parking, leading to visitor parking issues. The area is densely populated, often feeling overcrowded, and suffers from significant traffic congestion, especially during rush hours. Water quality is poor, requiring filtration for drinking. There are inadequate nearby schools, hospitals, and recreational facilities, and ongoing construction contributes to a lack of serenity. ","Average property prices in the locality are between ? 18,600- ? 29,200 / sqft",Average rent in the locality is between ? 44- ? 73 / sqft
cardid71424313,https://www.magicbricks.com/atul-horizon-bhandup-mumbai-pdpid-4d4235303231383336,https://www.magicbricks.com/Bhandup-in-Mumbai-Overview,"Living, Dining & Kitchen: Vitrified tiles | Bedrooms: Vitrified tiles | Balcony and Utility: Vitrified tiles | Bathroom & Toilet | Anti-skid vitrified tiles | Fittings from reputed maker | Stainless Steel Sink | Provision for water purifier | Long-lasting acrylic paint for exteriors | Three coats of fine white washing to the internal walls and ceiling | One coat of primre on doors, windows, grills, pipes etc. | Plaster of paris finish on all internal walls over plaster","Rainwater harvesting to impart quality lifestyle | Civic amenities | Accessible to schools, hospitals, restaurants, banks, cineplex | Location Advantages Fortis Hospital: 1.2 km | School: 1 km | Bhandup Station: 1.5 km | Dreams Mall: 1 km | Eastern Expressway Highway : 2 km","Atul Horizon in Bhandup, Mumbai, is a real estate project that offers well-ventilated flats with an east-west facing layout. The project is praised for its facilities, thoughtful layout, and proximity to essential services. However, there are concerns about the need for further development, particularly in terms of road infrastructure. ","Atul Horizon in Bhandup, Mumbai, stands out for its well-ventilated flats, excellent facilities, well-utilized space, and convenient location near essential services. ",,"Average property prices in the locality are between ? 14,800- ? 24,200 / sqft",Average rent in the locality is between ? 40- ? 63 / sqft
cardid71990651,https://www.magicbricks.com/kalpataru-park-riviera-panvel-navi-mumbai-pdpid-4d4235333234333735,https://www.magicbricks.com/Panvel-in-Navi-Mumbai-Overview,Multi-tier security and firefighting systems | CCTV surveillance in designated common areas | Public address system | Intercom facility | DG power backup for select common areas | Sprinkler system & mechanical ventilation in the basement | Vitrified tiled flooring in the living/dining & bedrooms | Main door & internal doors with laminate finish | Aluminium sliding windows | Video Door Phone (VDP) and intercom facility at the apartment entrance | Provision for air-conditioning in living area & bedrooms | Vitrified tiled flooring | Granite platform with stainless steel sink | Tiled dado above the platform | Exhaust fan | Kitchen equipped with PNG-cum-heat detector | Piped gas connection | Provision for water purifier | Tiled flooring with dado up to door height | Modular false ceiling | Premium sanitary and CP fittings | Hot &cold water mixer in the shower area | Storage water heater in all bathrooms | Exhaust fan | Spacious well-designed entrance lobbies | Separate drop-o_ for each tower | Elevators including Auto Rescue Device (ARD) | Parcel drop-o_ area | DG back up for elevator and designated common areas | Rain water harvesting | STP (Sewage Treatment Plant) | OWC (Organic Waste Converter) | Solar Photo-Voltaic System | Energy e_cient LED lighting in designated common areas | Access control system for parking area | Medical consultation room,"Smartly planned 2 Bed Homes | Spacious, well-designed lobbies | An elegantly designed eco-deck with modern amenities | A large landscaped garden with lush tropical planting on eco-deck and ground level | Multi-tier security system | Location Advantages:- CONNECTIVITY | Old Mumbai Pune Highway - 2 mins | Panvel Junction Railway Station - 6 mins | Panvel Bus Depot - 6 mins | Lonavala - 55 mins | Pune - 1 hr 50 mins | HOSPITALS | Gandhi Hospital - 3 mins | Lifeline Hospital - 5 mins | MGM Hospital - 13 mins | EDUCATIONAL INSTITUTIONS | Dr Pillai Global Academy - 10 mins | MGM College of Medical & Engineering - 12 mins | NIFT - 20 mins | Amity University - 22 mins | RETAIL | Panvel Market Yard - 4 mins | Orion Mall - 7 mins | D-Mart - 10 mins","Kalpataru Park Riviera in Panvel, Navi Mumbai has faced criticism for poor customer service, unmet promises, and issues with transparency and quality. ",The sales team has been praised for their support and cooperation. ,,"Average property prices in the locality are between ? 5,000- ? 8,500 / sqft",Average rent in the locality is between ? 17- ? 28 / sqft
cardid72280591,https://www.magicbricks.com/hiranandani-golden-willows-panvel-navi-mumbai-pdpid-4d4235343031383137,https://www.magicbricks.com/Panvel-in-Navi-Mumbai-Overview,"All homes have wide sundecks | Large format vitrified tiles in all rooms & anti-skid vitrified tiles in the balcony and utility room | Heavy-duty aluminium single-glazed windows | Main entrance door in veneer with melamine finish | Laminate on all internal doors | Plug points for ACs, concealed internal copper wiring with the drain pipe, waterproof switches in all balconies, video door phone with intercom | Quartz stone platform | Modular kitchen with fully fitted base unit, hob, exhaust, geyser and water purifier. | Magnificently planned bedrooms ensure zero wastage of space and offer ultimate comfort","40+ years of experience in creating award-winning townships | Hiranandani Fortune City is the first integrated township of Panvel | First township in the region to deliver 19 towers & 2200+ apartments | Hiranandani has unmatched construction quality Our structures are earthquake resistant with 100+ years of lifespan. A claim that is unique to Hiranandani | State-of-the-art buildings with neo-classical architecture | Our structures have a leakage-proof guarantee | Our buildings have mandatory rainwater harvesting | Hiranandani has been a pioneer in incorporating sewage treatment plants (STP) | Location Advantages: Vashi is 30 minutes away, | International schools & reputed universities - 20 minutes | Major banks, healthcare facilities & restaurants are located close to the township",,,,"Average property prices in the locality are between ? 5,000- ? 8,500 / sqft",Average rent in the locality is between ? 17- ? 28 / sqft
cardid72561037,https://www.magicbricks.com/muktangan-residency-dahisar-east-mumbai-pdpid-4d4235343230303937,https://www.magicbricks.com/Dahisar-East-in-Mumbai-Overview,Mirror finished designer Vitrified Tile Flooring | Decorative Entrance Door with Ultra Modern Lock | POP False Ceiling | POP smooth finished Wall with Plastic Paint | Texture Paint Highlighted Wall | Powder coated aluminum sliding windows | Inverter Wiring | Modular Kitchen trolleys with kitchen cabinets | Granite kitchen platform with stainless steel sink and service platform | Tiles in kitchen | Antiskid rustic tiles in floor | Designer digital tiles up to door height | Branded plumbing fittings | CP Fittings of good quality | Concealed copper wiring with modular switches | Sufficient electrical point in all rooms | Washing machine point and outlet provision | Safely features like MCB and ELCB,"Symmetrical design for everyday living | Optimization of light, air, and space in every square foot | Luxurious and stylish detailing throughout | High-quality fixtures enhancing the sense of luxury living | Dahisar Station 2min walk able | Dahisar Metro Station 7min walk able | Mumbai - Gujarat Highway 7min walk able | Poorna Pajna Education Centre 600mtr. | Thakur Ramnarayan College of Law 700mtr. | Life Care Multi Speciality Hospital 400mtr. | Movie Time Theatre 100mtr. | Jain Derasar Temple 10mtr. | Pragati Multi Speciality Hospital 500mtr. | Hotel Ravindra 200mtr.|  Dmart 2Km.| Bandhan Bank 40mtr.",,,,"Average property prices in the locality are between ? 13,100- ? 20,800 / sqft",Average rent in the locality is between ? 36- ? 56 / sqft
